№,Отрасли экономики,Профессии самозанятых,"Емкость всего рынка, млрд/год","Ёмкость рынка самозанятых, млрд/год","Рост емкости рынка (CAGR) 2022->2023, %","Рост числа самозанятых (CAGR) 2022-2023, %","Рост рынка самозанятых в деньгах (CAGR) 2022-2023, %","Средний чек компании на те же услуги, руб","Средний чек самозанятого, руб",%,Доли 5 лидеров рынка относительно тех услуг которые есть и у самозанятого и у компании,Концентрация рынка (участников с долей >40% -- монополия; 2 участника по 20% -- олигополия; иначе -- нет лидера),"Количесвто компаний всего (без самозанятых), компаний","Количество самозанятых всего (без компаний), человек","Средний чек сообществ самозанятых, руб/год","Средний чек обучения самозанятых, руб/год",Ссылка на анкету,Используют телеграм?,Бенчмарк по стороне Б,Сторона А,Стороны нашей платформы (самозанятые),"Созвон с экспертом (рутина, коучинг, знания, договоры, материалы, инструменты)",Свойства продука,Рыночное событие?,Нечестные преимущества?,Возможна подписка?,Качество User Exp низкое? 
1,IT-сфера,Администраторы,,,,,,,,,,,,,,,,,,,,,,,,,
2,IT-сфера,Аналитики данных (BI),,,,,,,,,,,,,,,,,,,,,,,,,
3,IT-сфера,Вебмастера,,,,,,,,,,,,,,,,,,,,,,,,,
4,IT-сфера,Графические дизайнеры,"0,092","0,338",10%,133%,"0,19",20 000,2 000,"-90,00%","Дизайн-студии и бюро:

CreativePeople - 215,3 млн р
Grape - 136,7 млн р
Depot WPF - 119,1 млн р
Deluxe Interactive - 104,8 млн р
Makelove - 87 млн р

Digital дизайн-студии России по выручке в 2022 г:
        
AIC - 403 млн р
Pinkman - 308 млн р
Студия Чулакова - 260 млн р
Студия Лебедева - 243 млн р
Red Collar - 238 млн р",,723,4 704,11 000,161 829,,,,,,,,,,,
5,IT-сфера,Компьютерные мастера,,,,,,,,,,,,,,,,,,,,,,,,,
6,IT-сфера,"Разработчики ПО (QA, devops, front/back/fullstack)",,,,,,,,,,,,,,,,,,,,,,,,,
7,IT-сфера,AI-разработчики,650,"116,1",18%,"86,60%","53,88",337 500,250 000,"-25,93%","Крупнейшие игроки российского рынка ИИ-решений и их выручка за 2022 г в тыс руб:
Cloud.ru - 5 059 969 р
ЦРТ - 4 056 677 р
Максима - 2 795 884 р
VS Robotics - 1 575 762 р
Naumen - 907 200 р",,более 300,от 1878 в узком смысле до 57600 в широком,цена не ясна,24 046,,,,Старшекурсник ИТ-факультет,,,,,,,
8,IT-сфера,Специалисты техподдержки,,,,,,,,,,,,,,,,,,,,,,,,,
9,IT-сфера,Продуктологи,,,,,,,,,,,,,,,,,,,,,,,,,
10,IT-сфера,Копирайтеры,,,,,,,,,,,,,,,,,,,,,,,,,
11,Авто,Механики,,,,,,,,,,,,,,,,,,,,,,,,,
12,Авто,Автоэвакуаторы,,,,,,,,,,,,,,,,,,,,,,,,,
13,Авто,Водители грузового транспорта,,,,,,,,,,,,,,,,,,,,,,,,,
14,Авто,Водители общественного транспорта,,,,,,,,,,,,,,,,,,,,,,,,,
15,Авто,Персональные водители,,,,,,,,,,,,,,,,,,,,,,,,,
16,Недвижимость,Флипперы,"29,7","4,1",3%,"41,38%","1,20",1 761 200,600 000,"-65,93%","Крупные флипперы на рынке: 
Игорь Галузин
Потапов
Лещенко
Шерягин
Алексей Демин",,10523 (или 3694 из расчета),200 000 (или 6860 из расчета),189 993,,,,,,,,,,,,
17,Недвижимость,Арендодатели (квартиры),,,,,,,,,,,,,,,,,,,,,,,,,
18,Недвижимость,Арендодатели (легковой транспорт),,,,,,,,,,,,,,,,,,,,,,,,,
19,Недвижимость,"Арендодатели (велосипеды, ролики)",,,,,,,,,,,,,,,,,,,,,,,,,
20,Недвижимость,Риэлторы,,,,,,,,,,,,,,,,,,,,,,,,,
21,Бизнес,"Предприниматели, фаундеры",,,,,,,,,,,,,,,,,,,,,,,,,
22,Бизнес,Продюссеры курсов,,,,,,,,,,,,,,,,,,,,,,,,,
23,Бизнес,Селлеры (маркетплейсы),,,,,,,,,,,,,,,,,,,,,,,,,
24,Бизнес,Франчайзи,,,,,,,,,,,,,,,,,,,,,,,,,
25,Бизнес,Инвесторы,,,,,,,,,,,,,,,,,,,,,,,,,
26,Бизнес,Организаторы мероприятий,"65,4","33,2",13%,34%,"8,42",70 000,35 000,-50%,"Агентства event:
ELEVENT
Galactic Group
Главный Советник
2L
Авангард",,9 578,1 804,цена не ясна,9 000,,,,,,FALSE,,,,,
27,Бытовые услуги,Гувернантки,,,,,,,,,,,,,,,,,,,,,,,,,
28,Бытовые услуги,Сиделки,20,"0,538",20%,"33,20%","0,13",2 000,1 200,"-40,00%","Патронажные службы в Москве и их выручка:
Опека - 437,4 млн р
Социальная поддержка - 26,3 млн р
Мы с вами 24 - 12,4 млн р
Сиделка-Центр - 10 млн р
Валентина - 3 млн р",,4 347,1 780,нет,5 150,,,,,,,,,,,
29,Бытовые услуги,Няни,,,,,,,,,,,,,,,,,,,,,,,,,
30,Бытовые услуги,Сторожа,,,,,,,,,,,,,,,,,,,,,,,,,
31,Бытовые услуги,"Клинеры, уборщики",,,,,,,,,,,,,,,,,,,,,,,,,
32,Бытовые услуги,Садовники,,,,,,,,,,,,,,,,,,,,,,,,,
33,Животные,Ветеринары,,,,,,,,,,,,,,,,,,,,,,,,,
34,Животные,Груммеры,,,,,,,,,,,,,,,,,,,,,,,,,
35,Животные,Дрессировщики,,,,,,,,,,,,,,,,,,,,,,,,,
36,Животные,Кинологи,,,,,,,,,,,,,,,,,,,,,,,,,
37,Животные,Передержка животных,,,,,,,,,,,,,,,,,,,,,,,,,
38,Красота и здоровье,Диетологи,,,,,,,,,,,,,,,,,,,,,,,,,
39,Красота и здоровье,Косметологи,,,,,,,,,,,,,,,,,,,,,,,,,
40,Красота и здоровье,Мастера маникюра,,,,,,,,,,,,,,,,,,,,,,,,,
41,Красота и здоровье,Мастера тату и пирсинга,,,,,,,,,,,,,,,,,,,,,,,,,
42,Красота и здоровье,Мастера по эпиляции/депиляции,,,,,,,,,,,,,,,,,,,,,,,,,
43,Красота и здоровье,Массажисты,,,,,,,,,,,,,,,,,,,,,,,,,
44,Красота и здоровье,Логопеды,,,,,,,,,,,,,,,,,,,,,,,,,
45,Красота и здоровье,Психологи,"683,3","16,8",35%,"64,70%","6,60",3 000,1 500,"-50,00%","Компании на рынке специализиованных агрегаторов:
Ясно - 0,78%
Alter - 0,41%
Zigmund.online - 0,2%
YouTalk - 0,18%
Мета - 0,11%",,6 820,19 001,74 636,,,,,,"Психолог
Супервизор
Клиент
Псх.центр
Образовательные курсы",TRUE,"Лиды
Рутина
Закрытое сообщество
Коучинг
База знаний
Инструменты",,,,
46,Красота и здоровье,Коучи,"9,1","0,991",17%,"49,50%","0,33",9 800,3 000,"-69,39%","ТОП 5 коучей России:
Юрий Мурадян
Радислав Гандапас
Катерина Вуд
Марина Мелия
Максим Батырев",,672,1 721,34 480,115 335,,,,,,FALSE,,,,,
47,Красота и здоровье,Парикмахеры/визажисты,,,,,,,,,,,,,,,,,,,,,,,,,
48,Красота и здоровье,Стилисты,,,,,,,,,,,,,,,,,,,,,,,,,
49,Красота и здоровье,"Персональные тренеры, инструкторы",,,,,,,,,,,,,,,,,,,,,,,,,
50,Услуги для бизнеса,Исследователи рынка (ресеарчер),,,,,,,,,,,,,,,,,,,,,,,,,
51,Услуги для бизнеса,Телемаркетеры,,,,,,,,,,,,,,,,,,,,,,,,,
52,Услуги для бизнеса,B2b продавцы,,,,,,,,,,,,,,,,,,,,,,,,,
53,Услуги для бизнеса,Промоутеры,,,,,,,,,,,,,,,,,,,,,,,,,
54,Услуги для бизнеса,Переводчики,,,,,,,,,,,,,,,,,,,,,,,,,
55,Услуги для бизнеса,Бухгалтера,,,,,,,,,,,,,,,,,,,,,,,,,
56,Услуги для бизнеса,Юристы,,,,,,,,,,,,,,,,,,,,,,,,,
57,Услуги для бизнеса,Налоговые консультанты,,,,,,,,,,,,,,,,,,,,,,,,,
58,Услуги для бизнеса,Страховщики,,,,,,,,,,,,,,,,,,,,,,,,,
59,Услуги для бизнеса,Курьеры,,,,,,,,,,,,,,,,,,,,,,,,,
60,Обучение,Репетиторы,500,"12,5",61%,"68,90%","5,10",720,1 000,"38,89%","Компании на рынке онлайн-образования:
Фоксфорд  
Учи.ру
Skyeng
Умскул
MAXIMUM Education",,4 759,52 467,нет,,,,,,"Производитель материалов
Центр оффлан (мал.агр.)
Репетитор
Заказчик
Агрегатор (SkyEng)
",FALSE,"Лиды
Рутина
Закрытое сообщество
Коучинг
База знаний
Инструменты",,,,
61,Обучение,Преподаватели,,,,,,,,,,,,,,,,,,,,,,,,,
62,Общественное питание,Кондитеры,1120,"0,615","2,30%",67%,"0,25",1 500,1 200,"-20,00%","Компании по выручке в 2022 г, млн р:
ОАО ХЛЕБПРОМ - 17400
ООО РАМЕНСКИЙ КОНДИТЕРСКИЙ КОМБИНАТ - 6100
ОАО КОНДИТЕРСКО-БУЛОЧНЫЙ КОМБИНАТ ""ЧЕРЕМУШКИ - 6000
ОАО ВОЛЖСКИЙ ПЕКАРЬ - 300
ООО СЕВЕР-МЕТРОПОЛЬ - 1900",,2 256,12 805,Нет,5 112,,,,,,,,,,,
63,Общественное питание,Повара,800,"53,12",9%,"-1,30%","-0,70",35 290,24 000,"-31,99%","Крупнейшие кейтеринговые компании России, максимальное кол-во гостей:
ChanteCler - 11.5 тысяч персон, 
Concord Catering — 6 тысяч персон, 
Фигаро — 5 тысяч персон, Uley 
Catering — 3.1 тысяч персон, 
Банкет-холл — 3 тысячи персон.",,336 (более 710),4 223,цена не ясна,18 260,50111800,,,,,,,,,,
64,Одежда,Дизайнеры одежды,2045,"0,40",-8%,64%,"0,16",1 400,3 000,"114,29%","Дизайнеры и их бренды:

Ульяна Сергеенко 
Вика Газинская
Гоша Рубчинский
RUBAN (Алиса и Юлия Рубан)
Александр Терехов",,2 236,1 122,9 999,73 895,,,,,,,,,,,
65,Одежда,Швея,"88,3","1,9",32%,98%,"0,94",5 600,3 000,"-46,43%","Ателье в Москве и их выручка:
МАСТЕРСКАЯ КЛАССИЧЕСКОГО КОСТЮМА - 120,9 млн р
Icon Suit - 83,9 млн р
Studio Bellissima - 31 млн р
Эталон - 27,2 млн р
Costume Code - 25,7 млн р
OVVIO - 7,8 млн р
КЪЯВЭ - 4,5 млн р
Igolka - 3,9 млн р
Ателье Орликов - 1,7 млн р
Ателье по ремонту и пошиву одежды №33 - 1,6 млн р",,8 841,1 761,8 948,39 983,,,,,,,,,,,
66,Развлечения,Аниматоры,,,,,,,,,,,,,,,,,,,,,,,,,
67,Развлечения,Музыканты,,,,,,,,,,,,,,,,,,,,,,,,,
68,Развлечения,Ведущие мероприятий,29,"10,5",9%,"20,70%","1,80",20 000,10 000,"-50,00%","Топ ведущих: 
Руслан Исмаилов
Вадим Коробков
Дуэт ""Скачков и Горький""
Роман Медведев
Антон Зайцев",,4 477,8 531,нет,,,,,,"Ведущий
Самозанятые организаторы
Заказчики ивентов
Ивент-агентство
Подрядчики
Образовательные курсы",FALSE,"Лиды
Рутина
Закрытое сообщество
Коучинг
База знаний
Инструменты",,,,
69,Развлечения,"Гиды, экскурсоводы",,,,,,,,,,,,,,,,,,,,,,,,,
70,Развлечения,Турагенты,1220,,53%,,,,,,"Крупные туроператоры России:

Biblio Globus - 101,8 млрд руб.
FUN&SUN - 71,4 млрд руб.
AnexTour - 833,7 млн руб.
Алеан - 310 млн руб.
Coral Travel - 223,8 млн руб.
Pegas Touristik - 199 млн руб.
Русский Экспресс - 179 млн руб.
Tez Tour - 132,9 млн руб.
Sunmar - 104,1 млн руб.
NTK-Intourist - 23,6 млн руб.",,21 241,,,,,,,,,,,,,,
71,Строительство и ремонт,Дизайнеры интерьвра,"73,8","7,8","73,00%","59,20%","2,90",196 000,67 200,"-65,71%","Студии дизайна интерьера:
1. Студия дизайна интерьера VPROEKTE Сергея Лашина
2. Студия дизайна интерьеров Alina Salomatina Interiors
3. Бюро интерьеров Studia 54
4. Студия дизайна интерьера Fedorova
5. Студия дизайна интерьера Hot Walls",,2 220,9 663,33 765,,,,,,"Дизайнер
Заказчик
Дизайн-бюро
Агрегатор (Behance)
Производители (материалы, мебель и т.п.)
Образовательные курсы",FALSE,"Лиды
Рутина
База знаний
Закрытое сообщество
Коучинг
Инструменты",,,,
72,Строительство и ремонт,Отделочники,,,,,,,,,,,,,,,,,,,,,,,,,
73,Строительство и ремонт,Ремонтники техники,,,,,,,,,,,,,,,,,,,,,,,,,
74,Строительство и ремонт,Сантехники,,,,,,,,,,,,,,,,,,,,,,,,,
75,Строительство и ремонт,Электрики,,,,,,,,,,,,,,,,,,,,,,,,,
76,Строительство и ремонт,Реставраторы,,,,,,,,,,,,,,,,,,,,,,,,,
77,Строительство и ремонт,Архитекторы,832,"0,198",20%,"41,70%","0,06",2 900 000,1 277 500,"-55,95%","Рынок архитектурного проектирования коттеджей
1. СТРОЙ ЦЕНТР ПРОЕКТ - 0,5%
2. Сотэкс - 0,45%
3. АМ Атриум - 0,44%
4. Проектное бюро Крупный план - 0,29%
5. СОЧИАРХПРОЕКТ - 0,29%",,6 636,1 319,4 000,,,,,,"Архитектор
Заказчик
Арх.бюро
Строй.компания
Производители (кирпич, облицовка и т.п.)
Образов. курсы",FALSE,"Лиды
Инструменты
База знаний
Рутина
Закрытое сообщество
Коучинг
",,,,
78,Производство на дому,Изготовители свечей,"16,27","1,5","1,92%","77,50%","0,65",375,600,"60,00%","Отечественные бренды восковых и парафиновых свечей:
11 CANDLES
DANKA
FABERLIC
HOME INTERIORS
PARAFIN64",,782,4 973,0,19 464,,,,,,,,,,,
79,Производство на дому,Ювелиры,,,,,,,,,,,,,,,,,,,,,,,,,
80,Производство на дому,Изготовители из металла,,,,,,,,,,,,,,,,,,,,,,,,,
81,Производство на дому,Изготовители из древесины (ДПИ),,,,,,,,,,,,,,,,,,,,,,,,,
82,Творчество и креатив,Издатели ,,,,,,,,,,,,,,,,,,,,,,,,,
83,Творчество и креатив,Блогеры,,,,,,,,,,,,,,,,,,,,,,,,,
84,Творчество и креатив,Операторы,,,,,,,,,,,,,,,,,,,,,,,,,
85,Творчество и креатив,Фотографы,,,,,,,,,,,,,,,,,,,,,,,,,
86,Творчество и креатив,Художники,,,,,,,,,,,,,,,,,,,,,,,,,
87,Творчество и креатив,Сценаристы,,,,,,,,,,,,,,,,,,,,,,,,,
88,Творчество и креатив,Фотомодели,,,,,,,,,,,,,,,,,,,,,,,,,
89,Творчество и креатив,Писатели,,,,,,,,,,,,,,,,,,,,,,,,,