Гипотезы,Вопросы
Шаг 1. Уточняем квалификацию ЦА в порядке важности и неотъемлимости,
"Ориентирован именно на практическую работу с клиентами, а не на академическое развитие","Верно ли я понимаю, что для вас важнее развиваться как практикующий психолог,а  не как академический специалист?"
"Хочет не только брать, но и давать","Были случаи, когда вы как-то помгали другим психологам (делились материалами, высказывали своё мнение, подсказывали что-то и т.п.)? Что это были за ситуации?"
,"В каких сообществах, группах, чатах, каналах вы состоите?"
,"Есть колелги, к чьёму мнению вы осбо прислушиваетесь? Может читаете чьи-то каналы/блоги? Кто это? Почему именно они?"
"Имеет базовое психологическое образование + курс повышений кваллификации в методе или сразу проф.переподготовка в методе, либо же в процессе получения образования в методе и уже пройдён 1 семестр","Расскажите о своём образовательном пути. Что закончили, где учились, почему именно это направление выбрали?"
"Не имеет ещё устоявшейся практики, есть куда расти по клиентам и не всё стабильно с супервизиями",описано в блоке с проблемой недостатка практики
Психотерапия пока ещё не является основным или единственным источником дохода,
,
,
Шаг 2. Проверяем гипотезу проблем,
"Психологи/психотерапевты разделяют понятия психолог и психотерапевт, при встрече с ними сразу идентифицируют по термину суть, считают психотерапевтов работающими с психологичекими отклонениями и в более длительном формате, чем психологи",Вы психолог или психотерапевт?
,Как вы лично воспрнимаете и разделяете понятия психолог и психотерапевт?
У начинающих психологов есть проблема с получением первых клиентов для практики и дипломных работ (длительные),Сколько у вас в данный момент постоянных клиентов? 
,"А по ощущениям, какой вас контейнер, сколько клиентов вы хотите сейчас иметь?"
У психолгов есть проблема с привлечением новых клиентов,А откуда и как к вам приходят клиенты? 
У психологов есть проблема с недостатком практики,Есть сейчас проблема с недостатком практики? В чём она выражается?
,Какие проблемы с привлечением новых клиентов?
,Насколько важно для вас решить эту проблему? От 1 до 10
,Как пробовали решать?
,Что не так в этих решениях?
,Насколько сильно недовольны этими решениями? От 1 до 10
,Сколько стоят у вас сессии?
,
У психологи нуждаются в стабильно существующей супервизионной группе и интервизионной группе,"Вы посещаете супервизионные или интервизионные группы или ходите в личную супервизию? Чем довольны, чем нет?"
,Посещали ранее? Пробовали начать? Что для этого делали? Почему не удалось?
,Сколько стоят ваши супервизии? Как часто проходят?
,"От 1 до 10 оцените, насколько для вас это [нет супервизий/непостоянная группа/дорого и тп] болезненная проблема?"
"Психологи хотят чувствовать себя частью профессионального сообщества, но не имеют этого ощущения",Есть ли у вас потребность чувствовать себя частью профессионального сообщества?
,Что для вас значит быть частью профессионального сообщества?
,Насколько вы чувствуете себя частью профессионального сообщества?
,Насколько важно для вас решить проблему нехватки этого ощущения причастности к проф.сообществу? От 1 до 10
,Как-то пробовали изменить ситуацию? За последнее время есть изменения?
,Насколько сильно недовольны решением и результатами? От 1 до 10
,
У психологов есть проблема с профессиональным ростом. ,"Что такое профессиональное развитие и рост? В чём оно выражается? Как вы понимаете, что профессионально растёте? "
,"Какие с этим сложности? Чего не хватает для полноценного роста? Что мешает росту профессиональному? Какие есть внешние и внутренние сложности?
"
"У психологов есть желание запускать групповые мероприятия разных форматов, но есть проблема с тем, как это организовать и пригласить на них участников. Они не знают, какую тему выбрать, у них есть страх несправиться",Когда-нибудь проводили или думали о проведении каких-то групповых форматов работы с клиентами или другими психологами?
,Есть вообще такая потребность у вас? Какие именно группы?
,Зачем это вам?
,Насколько для вас важно иметь возможность проводить такие группы? От 1 до 10
,С какими сложностями сталкивались? Почему не запустили? Что мешало?
"Психологи хотят писать статьи, посты, тексты, но им негде это делать, у них нет аудитории, им не хватает поддержки, они не знают, о чём писать","Пишите какие-то проф.эссе, посты? Есть такая потребность? Что писали, где, как?"
,Зачем это вам?
,Насколько для вас важно публиковаться? От 1 до 10
,С какими трудностями сталкивались? Почему не пишите? 
У психологов есть незакрытая потребность повышать свой навык проведения сессий,Как вы оцениваете свой навык проведения сесий?
,Есть ли у вас какая-то потребность улучшения этого навыка?
,"Что именно надо улучшить, чего вам не хватает?"
,Насколько вам важно эти навыки усилить? От 1 до 10
,Какие способы пробовали? Что делали для усиления?
"У психологов есть запрос на то, чтобы в безопасной обстановке пересекаться с психологами другой модальности и делиться с ними опытом и взглядами",
"У психологов есть потребность иметь общирную библиотеку знаний в едином месте. Они сталкиваются с тем, что приходится долго искать необходимый материал.",
Психологам не хватает личных встреч оффлайн с коллегами,
У психологов есть нехватка контактов надёжных психиатров,
"Психологи хотят посещать книжный-, никоклубы, сновидческую группу, но у них нет подходящего предложения, неудобно по времени или есть иные проблемы",
,
,
Шаг 3. Проверяем гипотезы решений,
Предложение на нашем сайте закрывает какие-то из потребностей психологов,"Напомнить озвучивать все мысли, вопросы, возражения, возмущения по ходу просмотра сайта."
,Описанное на сайте сообщество закрывает какие-то ваши потребности? Какие?
На сайте нет отталкивающей психолога информации,Что вас больше всего зацепилов описанном сообществе?
,Что лично для вас является слабым местом описанного предложения? 
,"Если знаете какие-то аналогичные предложения, можете нас с ними сравнить?"
,"Насколько цена соответствует ценности, которую сообщество даёт? От 1 до 10"
После изучени сайта у психолога возникает желание подать заявку в сообщество,После изучения сайта у вас есть желание нажать кнопку и отправить заявку на вступление в сообщество? Почему?
После изучения сайта у психолога возникает желание ознакомиться с подробными условиями оффера,
Анкета-заявка на входе в сообщество вызывает у психолога доверие и нигде не возникает желания прекратить заполнение,